INFO - 2021-08-07 13:03:05,832 - .s3.s3parallels.operation - operation._process - MainThread - Found VM Windows 10 with identifier dabfc2f1-772e-4647-84a6-e44af284bf79  and uptime is about 70 hours. in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3parallels/operation.py:461
INFO - 2021-08-07 13:03:06,211 - .s3.s3parallels.parallels - parallels.get_snapshot_list - MainThread - Snapshot {d50241f1-1ff3-4582-b303-626919aa9b42} expire 2021-08-18 12:50 (3 days) in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3parallels/parallels.py:199
INFO - 2021-08-07 13:03:06,211 - .s3.s3parallels.parallels - parallels.get_snapshot_list - MainThread - Snapshot {01e14926-e07d-4535-b441-832e32d43938} expire 2021-08-18 20:47 (2 days) in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3parallels/parallels.py:199
INFO - 2021-08-07 13:03:06,216 - .s3.s3storage - s3storage.__init__ - MainThread - Open S3 AWS Session... in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3storage.py:35
INFO - 2021-08-07 13:03:06,232 - .s3.s3storage - s3storage.__init__ - MainThread - Initialize S3 AWS client for https://hb.bizmrg.com... in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3storage.py:52
INFO - 2021-08-07 13:03:06,912 - .__main__ - main.main - MainThread - Elapsed time is 2 seconds 492 milliseconds. in main.py:108
INFO - 2021-08-07 13:04:05,085 - .s3.s3parallels.operation - operation._process - MainThread - Found VM Windows 10 with identifier dabfc2f1-772e-4647-84a6-e44af284bf79  and uptime is about 70 hours. in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3parallels/operation.py:461
INFO - 2021-08-07 13:04:05,466 - .s3.s3parallels.parallels - parallels.get_snapshot_list - MainThread - Snapshot {d50241f1-1ff3-4582-b303-626919aa9b42} expire 2021-08-09 12:50 (3 days) in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3parallels/parallels.py:199
INFO - 2021-08-07 13:04:05,466 - .s3.s3parallels.parallels - parallels.get_snapshot_list - MainThread - Snapshot {01e14926-e07d-4535-b441-832e32d43938} expire 2021-08-09 20:47 (2 days) in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3parallels/parallels.py:199
INFO - 2021-08-07 13:04:05,825 - .s3.s3parallels.parallels - parallels.create_snapshot - MainThread - Create snapshot "Snapshot for 2021-08-07 13:04:05" for VM Windows 10 ({dabfc2f1-772e-4647-84a6-e44af284bf79})... in /Users/rkrivov/PycharmProjects/s3_upload/s3/s3parallels/parallels.py:117
